Composer,Mass,Movement,Source,Sibelius file,xml file,pdf file,midi file,Corrected .sib file (if needed),Corrected .xml (if needed),Notes
P. de la Rue,Missa Almana,Benedictus,JRP,https://drive.google.com/open?id=1vLLOzwi2O0dG7cMYuoxdl3adub21heBG,,,,,,
P. de la Rue,Missa Assumpta est Maria,Gloria tua,JRP,https://drive.google.com/open?id=1pWHFQdPyQOjKH20c3QjAK3P1IRjMz7TX,,,,,,
P. de la Rue,Missa Assumpta est Maria,Pleni,JRP,https://drive.google.com/open?id=1d9boTyIQWG3uCKmuXDvJbJDAXv9KkAYx,,,,,,
P. de la Rue,Missa Ave Sanctissima Maria,Gloria - Qui Tollis,JRP,https://drive.google.com/open?id=1Xj9jKpG-j_U9gNUYNJxcA9syqP5NZfjS,,,,,,
P. de la Rue,Missa Ave Sanctissima Maria,Crucifixus,JRP,https://drive.google.com/open?id=1MS_C7y3pMiqu7II1pnK0el2t8xj-HUta,https://drive.google.com/open?id=1O1NkfiuSrQka9eX55pyML8mmo_-XorRO,https://drive.google.com/open?id=0B0QZHrd7oj6nNXpSMlhXbUpfSWM,https://drive.google.com/open?id=1YrQK03pvqtCV9d6jLDJ-UPY2iJXiaBSu,,,
P. de la Rue,Missa Ave Sanctissima Maria,Et Resurrexit,JRP,https://drive.google.com/open?id=1nCNFT2K-lvXJ87l1y2AnSuOP9l-w2830,,,,,,
P. de la Rue,Missa Ave Sanctissima Maria,Pleni,JRP,https://drive.google.com/open?id=1KsbzoFHZYYtj4XTCZ0K7tLNJvqayi9jy,,,,,,
P. de la Rue,Missa Conceptio Tua,Benedictus,JRP,https://drive.google.com/open?id=1rD-raSYI6krCnvB8AqoC7-Z5CaKpN8rq,,,,,,
P. de la Rue,Missa Conceptio Tua,In nomine,JRP,https://drive.google.com/open?id=1l3othUkjiujANeW0Nhu13CQeohQQi7qV,,,,,,
P. de la Rue,Missa de Beata virgine,Agnus II,JRP,,,,,,,Same as the Josquin piece; eliminate from corpus
P. de la Rue,Missa de Feria,Pleni,JRP,https://drive.google.com/open?id=1Vbw-UHdmwamr48_IuHHbusu5xD2ViBoK,,,,,,
P. de la Rue,Missa de Feria,Agnus II,JRP,https://drive.google.com/open?id=1hFTpEjefc6lMmnVII7caeG9RrWsD69s7,,,,,,
P. de la Rue,Missa de Sancta Anna,Benedictus,Opera Omnia 1989,https://drive.google.com/open?id=1AJquXRPguJ0FqYVB3uBSIvOkvRQvvmWE,,,,,,Transcribed into original note values
P. de la Rue,Missa de Sancta Anna,In nomine,Opera Omnia 1989,https://drive.google.com/open?id=10q-JVIgmeRRi-t5SvGe0KdqfPcuw2t-Y,,,,,,Transcribed into original note values
P. de la Rue,Missa de Sancto Antonio,In nomine,JRP,https://drive.google.com/open?id=127-cxOryqSYxWTB38Y4qwIFpnRkIvq9a,,,,,,
P. de la Rue,Missa de Sancto Job,Pleni,JRP,https://drive.google.com/open?id=1LJUOStznsxT2X55EsLR4A28Ociej6W_d,,,,,,
P. de la Rue,Missa de Sancto Job,Benedictus,JRP,https://drive.google.com/open?id=127-cxOryqSYxWTB38Y4qwIFpnRkIvq9a,,,,,,
P. de la Rue,Missa de Septem doloribus,Pleni,JRP,https://drive.google.com/open?id=13EjHhy9XTwlhEc9XP83B8uYYT3_07N3O,,,,,,
P. de la Rue,Missa de Septem doloribus,In nomine,JRP,https://drive.google.com/open?id=1DhmuOgn2jdaCm-rqESwCDZz0U61vUxSj,,,,,,
