"Agricola, Alexander",1445-01-01,1506-01-01
Anonymous,,
Aulen,1450-01-01,1500-01-01
"Bach, Johann Sebastian",1685-01-01,1750-01-01
Barbingant,1445-01-01,1460-01-01
"Basiron, Philippe",1449-01-01,1491-01-01
"Bauldeweyn, Noel",1480-01-01,1513-01-01
"Bedyngham, Johannes",1453-01-01,1460-01-01
"Beethoven, Ludwig van",1770-01-01,1827-01-01
"Benet, John",1440-01-01,1460-01-01
"Brumel, Antoine",1460-01-01,1513-01-01
"Busnoys, Antoine",1430-01-01,1492-01-01
"Carlir, Nicole",1493-01-01,1523-01-01
"Caron, Firminus",1460-01-01,1475-01-01
"Casadesus, Henri",1879-01-01,1947-01-01
"Chopin, Fryderyk Franciszek",1810-01-01,1849-01-01
"Compère, Loyset",1445-01-01,1518-01-01
"de Lisle, Simon",1440-01-01,1462-01-01
"Divitis, Antonius",1470-01-01,1530-01-01
"Domarto, Petrus de",1445-01-01,1455-01-01
"Du Fay, Guillaume",1397-01-01,1474-01-01
"Dunstaple, John",1390-01-01,1453-01-01
Eleganzer,1440-01-01,1520-01-01
"Faugues, Guillaume",1460-01-01,1475-01-01
"Févin, Antoine de",1470-01-01,1512-01-01
"Févin, Robert de",1500-01-01,1515-01-01
"Ghiselin, Johannes",1491-01-01,1507-01-01
"Grieg, Edvard",1843-01-01,1907-01-01
"Grossin, Estienne",1418-01-01,1421-01-01
"Handel, George Frideric",1685-01-01,1759-01-01
"Haydn, Joseph",1732-01-01,1809-01-01
"Heyns, Cornelius",1447-01-01,1485-01-01
"Isaac, Henricus",1450-01-01,1517-01-01
Josquin Des Prez,1450-01-01,1521-01-01
"La Rue, Pierre de",1452-01-01,1518-01-01
"Lassus, Orlande de",1532-01-01,1594-01-01
"Machaut, Guillaume de",1300-01-01,1377-01-01
"Martini, Johannes",1430-01-01,1497-01-01
"Moulu, Pierre",1484-01-01,1550-01-01
"Mouton, Jean",1459-01-01,1522-01-01
"Mozart, Wolfgang Amadeus",1756-01-01,1791-01-01
"Obrecht, Jacob",1457-01-01,1505-01-01
"Ockeghem, Jean de",1410-01-01,1497-01-01
"Orto, Marbianus de",1460-01-01,1529-01-01
"Palestrina, Giovanni Pierluigi da",1525-01-01,1594-01-01
"Peñalosa, Francisco",1470-01-01,1528-01-01
"Pipelare, Matthaeus",1450-01-01,1515-01-01
"Power, Leonel",1410-01-01,1445-01-01
"Prioris, Johannes",1485-01-01,1512-01-01
"Richafort, Jean",1480-01-01,1550-01-01
"Schubert, Franz",1797-01-01,1828-01-01
"Severdonck, Henricus",1500-01-01,1520-01-01
"Tchaikovsky, Peter",,
"Touront, Johannes",1450-01-01,1475-01-01
"Victoria, Tomás Luis de",,
"Weerbeke, Gaspar van",1445-01-01,1516-01-01
Yacten,1475-01-01,1500-01-01
"Telemann, Georg Philipp",1681-01-01,1767-01-01
"Schumann, Robert",1810-01-01,1856-01-01
"Purcell, Henry",1659-01-01,1695-01-01
"Cambini, Giuseppe Maria",1746-01-01,1825-01-01
"Danzi, Franz",1763-01-01,1826-01-01
"Gluck, Christoph Willibald",1714-01-01,1787-01-01
"Strauss, Richard",1864-01-01,1949-01-01
"Wagner, Richard",1813-01-01,1883-01-01
"Corelli, Arcangelo",1653-01-01,1713-01-01
"Clementi, Muzio",1752-01-01,1832-01-01
"Buxtehude, Dietrich",1637-01-01,1707-01-01
"Pachelbel, Johann",1653-01-01,1706-01-01
