Alexander,Agricola,1445-01-01,1506-01-01
Benedictus,Appenzeller,1480-01-01,1558-01-01
Aulen,,1450-01-01,1500-01-01
Johann Sebastian,Bach,1685-01-01,1750-01-01
Barbingant,,1445-01-01,1460-01-01
Adrien,Basin,,
Philippe,Basiron,1449-01-01,1491-01-01
Jean,Bastard,1536-01-01,1552-01-01
Noel,Bauldeweyn,1480-01-01,1513-01-01
Johannes,Bedyngham,1453-01-01,1460-01-01
Ludwig van,Beethoven,1770-01-01,1827-01-01
John,Benet,1440-01-01,1460-01-01
Heinrich Ignaz Franz von,Biber,1644-01-01,1704-01-01
Gilles de Bins dit,Binchois,,
Antoine,Brumel,1460-01-01,1513-01-01
Johannes,Brunet,1510-01-01,1530-01-01
Antoine,Busnoys,1430-01-01,1492-01-01
William,Byrd,1540-01-01,1623-01-01
Pierre,Cadéac,1538-01-01,1556-01-01
Arnold,Caen,1500-01-01,1525-01-01
Paolo,Caracciolo,1560-01-01,1590-01-01
Nicole,Carlir,1493-01-01,1523-01-01
Firminus,Caron,1460-01-01,1475-01-01
Carpentras,,1470-01-01,1548-01-01
Henri,Casadesus,1879-01-01,1947-01-01
Pierre,Certon,1549-01-01,1572-01-01
Nicolas,Champion,1475-01-01,1533-01-01
Fryderyk Franciszek,Chopin,1810-01-01,1849-01-01
Clément,,1549-01-01,1549-01-01
Loyset,Compère,1445-01-01,1518-01-01
Alessandro,Coppini,1465-01-01,1527-01-01
Nicolaus,Craen,1440-01-01,1507-01-01
Petit Jean,De Latre,,
Simon,de Lisle,1440-01-01,1462-01-01
Andreas,De Silva,1475-01-01,1530-01-01
Decapella,,,
Michael,Deiss,1552-01-01,1568-01-01
Diniset,,1475-01-01,1525-01-01
Antonius,Divitis,1470-01-01,1530-01-01
Petrus de,Domarto,1445-01-01,1455-01-01
Guillaume,Du Fay,1397-01-01,1474-01-01
Jean,Du Sart,1440-01-01,1485-01-01
Estienne,Du Tertre,1440-01-01,1460-01-01
John,Dunstaple,1390-01-01,1453-01-01
Eleganzer,,1440-01-01,1520-01-01
Guillaume,Faugues,1460-01-01,1475-01-01
Antoine de,Févin,1470-01-01,1512-01-01
Robert de,Févin,1500-01-01,1515-01-01
Mathurin,Forestier,1500-01-01,1535-01-01
Frougy,,,
Walter,Frye,,
Johann Joseph,Fux,1660-01-01,1741-01-01
Andrea,Gabrieli,,
Giovanni,Gabrieli,,
Claude,Gervaise,1540-01-01,1560-01-01
Johannes,Ghiselin,1491-01-01,1507-01-01
Godard,,,
Claude,Goudimel,1514-01-01,1572-01-01
Gregoire,,1500-01-01,1500-01-01
Edvard,Grieg,1843-01-01,1907-01-01
Daniel,Grisonio,1510-01-01,1570-01-01
Estienne,Grossin,1418-01-01,1421-01-01
Francisco,Guerrero,,
Maximilian,Guilliaud,,
Jean,Guyon,,
George Frideric,Handel,1685-01-01,1759-01-01
Hans Leo,Hassler,1564-01-01,1612-01-01
Joseph,Haydn,1732-01-01,1809-01-01
Hayne van,Ghizeghem,1445-01-01,1497-01-01
Cornelius,Heyns,1447-01-01,1485-01-01
Henricus,Isaac,1450-01-01,1517-01-01
Jacopo da,Bologna,1340-01-01,1386-01-01
Jo.,James,1549-01-01,1549-01-01
Clément,Janequin,1485-01-01,1558-01-01
Jean,Japart,1476-01-01,1481-01-01
Josquin Des Prez,,1450-01-01,1521-01-01
Gilles,Joye,,
Pierre de,La Rue,1452-01-01,1518-01-01
Francesco,Landini,1325-01-01,1397-01-01
Colinet de,Lannoy,1477-01-01,1497-01-01
Orlande de,Lassus,1532-01-01,1594-01-01
Jean,Le Brung,1500-01-01,1530-01-01
Jean,Le Gendre,1533-01-01,1557-01-01
Le Rat,,1549-01-01,1557-01-01
Guillaume,Le Rouge,,
Antonio,Lotti,1666-01-01,1740-01-01
LHuyllier,,,
Guillaume de,Machaut,1300-01-01,1377-01-01
Stephan,Mahu,,
Jean,Maillard,1538-01-01,1570-01-01
Maistre Jhan,,1485-01-01,1538-01-01
Pierre de,Manchicourt,1510-01-01,1564-01-01
Nicolas de,Marle,1544-01-01,1568-01-01
Claude,Martin,,
Johannes,Martini,1430-01-01,1497-01-01
Philippe de,Monte,1521-01-01,1603-01-01
Robert,Morton,,
Pierre,Moulu,1484-01-01,1550-01-01
Jean,Mouton,1459-01-01,1522-01-01
Wolfgang Amadeus,Mozart,1756-01-01,1791-01-01
Ninot le Petit,,1500-01-01,1500-01-01
Jacob,Obrecht,1457-01-01,1505-01-01
Jean de,Ockeghem,1410-01-01,1497-01-01
Olivier,,,
Marbianus de,Orto,1460-01-01,1529-01-01
Nicolas,Pagnier,1549-01-01,1549-01-01
Giovanni Pierluigi da,Palestrina,1525-01-01,1594-01-01
Francisco,Peñalosa,1470-01-01,1528-01-01
Michele,Pesenti,1470-01-01,1528-01-01
Matthaeus,Pipelare,1450-01-01,1515-01-01
John,Plummer,1410-01-01,1484-01-01
Leonel,Power,1410-01-01,1445-01-01
Johannes,Prioris,1485-01-01,1512-01-01
João Lourenço,Rebelo,1610-01-01,1661-01-01
Johannes,Regis,1425-01-01,1496-01-01
Nicole,Regnes,1530-01-01,1551-01-01
Jean,Richafort,1480-01-01,1550-01-01
Cipriano de,Rore,1515-01-01,1565-01-01
Domenico,Scarlatti,1685-01-01,1757-01-01
Franz,Schubert,1797-01-01,1828-01-01
Ludwig,Senfl,1486-01-01,1543-01-01
Henricus,Severdonck,1500-01-01,1520-01-01
Solage,,1370-01-01,1400-01-01
Thomas,Stoltzer,1480-01-01,1526-01-01
Ja,Tadinghen,1470-01-01,1500-01-01
Torquato,Tasso,,
Peter,Tchaikovsky,,
Pierrequin de,Thérache,1470-01-01,1528-01-01
Johannes,Tinctoris,,
Johannes,Touront,1450-01-01,1475-01-01
Philippe,Verdelot,1480-01-01,1552-01-01
