RenComp7_metadata,,,,,,,
File Name,Composer Given Name,Composer Surname,Musical Work Name,Section Name,Genre,Sacred/Secular,Collection Name
Antoine_Busnoys/Bus1001a-Missa_Lhomme_arme-Kyrie.mid,Antoine,Busnoys,Missa Lhomme arme,Kyrie,Mass,Sacred,RenComp7
Antoine_Busnoys/Bus1001b-Missa_Lhomme_arme-Gloria.mid,Antoine,Busnoys,Missa Lhomme arme,Gloria,Mass,Sacred,RenComp7
Antoine_Busnoys/Bus1001c-Missa_Lhomme_arme-Credo.mid,Antoine,Busnoys,Missa Lhomme arme,Credo,Mass,Sacred,RenComp7
Antoine_Busnoys/Bus1001d-Missa_Lhomme_arme-Sanctus.mid,Antoine,Busnoys,Missa Lhomme arme,Sanctus,Mass,Sacred,RenComp7
Antoine_Busnoys/Bus1001e-Missa_Lhomme_arme-Agnus.mid,Antoine,Busnoys,Missa Lhomme arme,Agnus,Mass,Sacred,RenComp7
Antoine_Busnoys/Bus2003-Anima_mea_liquefacta_est__Stirips_Jesse.mid,Antoine,Busnoys,Anima mea liquefacta est  Stirips Jesse,,Motet,Sacred,RenComp7
Antoine_Busnoys/Bus2004-Anthoni_usque_limina.mid,Antoine,Busnoys,Anthoni usque limina,,Motet,Sacred,RenComp7
Antoine_Busnoys/Bus2007-In_hydraulis.mid,Antoine,Busnoys,In hydraulis,,Motet,Sacred,RenComp7
Antoine_Busnoys/Bus3001-Acordes_moy.mid,Antoine,Busnoys,Acordes moy,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3002-Advegne_que_venir_pourra.mid,Antoine,Busnoys,Advegne que venir pourra,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3003-Amors_nous_traite__Je_men_voy.mid,Antoine,Busnoys,Amors nous traite  Je men voy,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3004-A_qui_vens_tu_tes_coquilles.mid,Antoine,Busnoys,A qui vens tu tes coquilles,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3005-Au_gre_de_mes_ieulx.mid,Antoine,Busnoys,Au gre de mes ieulx,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3006-A_une_dame.mid,Antoine,Busnoys,A une dame,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3007-Au_povre_par_necessite.mid,Antoine,Busnoys,Au povre par necessite,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3008-A_vous_sans_aultre.mid,Antoine,Busnoys,A vous sans aultre,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3009-Bel_Acueil_le_sergent_dAmours.mid,Antoine,Busnoys,Bel Acueil le sergent dAmours,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3010-Bone_chere.mid,Antoine,Busnoys,Bone chere,,Song,Secular,RenComp7
